,s_property_type,s_places,d_currency,c_price_aprox_local_currency,c_surface_total_in_m2,c_surface_covered_in_m2,c_price_per_m2,c_latitud,c_longitud
5509,apartment,Tlalpan,0,2188025.71,90.0,90.0,24533.33333,19.307954,-99.134187
5510,apartment,MiguelHidalgo,0,6194929.5,100.0,100.0,62500.0,19.407269,-99.190754
5511,house,VenustianoCarranza,0,2772688.5,140.0,140.0,19985.71429,19.413349,-99.108641
5512,apartment,Cuauhtemoc,0,1090049.06,80.0,80.0,13750.0,19.436607,-99.159948
5514,apartment,Cuauhtemoc,0,2675574.95,130.0,130.0,20769.23077,19.408949,-99.180214
5515,apartment,Xochimilco,0,743215.24,55.0,55.0,13636.36364,19.263462,-99.104913
5516,apartment,Cuauhtemoc,0,2873765.76,50.0,50.0,58000.0,19.419962,-99.171955
5517,apartment,Tlalpan,0,3864719.42,188.0,188.0,20744.68085,19.285062,-99.147478
5518,apartment,Cuauhtemoc,0,1507571.43,60.0,60.0,25355.56667,19.445742,-99.159469
5519,house,BenitoJuarez,0,4871180.12,80.0,80.0,61431.0375,19.368063,-99.162134
5520,apartment,MiguelHidalgo,0,8324011.26,167.0,167.0,50299.4012,19.437134,-99.21278
5521,house,AlvaroObregon,0,4459291.65,150.0,150.0,29728.611,19.3942152,-99.2082951
5522,apartment,MiguelHidalgo,0,896812.97,65.0,65.0,13923.07692,19.457982,-99.19269
5523,apartment,BenitoJuarez,0,3190870.86,100.0,100.0,32200.0,19.4856387,-99.1083012
5524,apartment,Cuauhtemoc,0,802672.48,69.0,69.0,11739.13043,19.433883,-99.140613
5526,house,AlvaroObregon,0,4638763.11,463.0,463.0,10107.99136,19.286063,-99.194869
5527,house,GustavoAMadero,0,2466076.47,300.0,300.0,8295.296667,19.348694,-99.16291
5528,apartment,Iztapalapa,0,644119.84,47.0,47.0,13829.78723,19.373622,-99.053635
5529,apartment,BenitoJuarez,0,1020682.18,48.0,48.0,21458.33333,19.399121,-99.1414643
5531,apartment,AlvaroObregon,0,2725122.75,90.0,90.0,30555.55556,19.356818,-99.188926
5532,apartment,Cuauhtemoc,0,871378.24,60.0,60.0,14655.55,19.444924,-99.139843
5533,house,GustavoAMadero,0,6441199.16,500.0,320.0,20312.5,19.482945,-99.113471
5535,apartment,BenitoJuarez,0,2075549.19,75.0,75.0,27920.0,19.376742,-99.148794
5537,apartment,BenitoJuarez,0,2139645.36,100.0,100.0,21586.66,19.381043,-99.182902
5539,apartment,Cuauhtemoc,0,1050410.9,90.0,90.0,11777.77778,19.407816,-99.129707
5540,apartment,BenitoJuarez,0,1458287.33,70.0,70.0,21022.85714,19.396705,-99.181902
5541,house,VenustianoCarranza,0,1349678.96,98.0,98.0,13897.95918,19.436436,-99.117256
5542,apartment,Azcapotzalco,0,1337787.47,70.0,70.0,19285.71429,19.474885,-99.188231
5543,apartment,MiguelHidalgo,0,922577.8,56.0,56.0,16625.0,19.450242,-99.194688
5545,apartment,GustavoAMadero,0,743770.09,54.0,54.0,13899.25926,19.474427,-99.088528
5548,apartment,AlvaroObregon,0,673848.36,78.0,78.0,8717.948718,19.387764,-99.205826
5549,apartment,Cuauhtemoc,0,380526.04,45.0,45.0,8533.333333,19.443178,-99.144234
5552,house,Iztacalco,0,2533868.51,190.0,190.0,13457.89474,19.388596,-99.131088
5554,apartment,AlvaroObregon,0,752867.01,65.0,65.0,11688.30769,19.365917,-99.196977
5555,house,Iztapalapa,0,1384362.21,200.0,200.0,6985.0,19.363438,-99.101114
5556,house,Iztacalco,0,2498194.24,169.0,169.0,14782.214437869825,19.396800286,-99.0676474571
5557,apartment,Cuajimalpa,0,9364512.71,210.0,210.0,45000.0,19.35735,-99.299792
5558,apartment,VenustianoCarranza,0,1238692.07,68.0,68.0,18382.35294,19.428152,-99.106194
5559,house,BenitoJuarez,0,6972449.38,141.0,141.0,49901.41844,19.388704,-99.162207
5560,house,AlvaroObregon,0,1486430.48,150.0,150.0,10000.0,19.367093,-99.227346
5562,house,Tlalpan,0,4460349.25,517.0,280.0,16071.42857,19.2947723,-99.2317638
5563,house,Cuajimalpa,0,2566570.1,373.0,247.0,10485.82996,19.3563182,-99.2882606
5564,apartment,VenustianoCarranza,0,1047869.12,50.0,50.0,21148.7,19.452365,-99.124572
5565,apartment,BenitoJuarez,0,822491.56,63.0,63.0,13174.60317,19.398671,-99.134129
5566,apartment,BenitoJuarez,0,3181238.84,94.0,94.0,34151.91489,19.402649,-99.155405
5567,house,AlvaroObregon,0,13873352.16,305.0,305.0,45901.63934,19.342843,-99.249551
5570,apartment,BenitoJuarez,0,1411883.93,70.0,70.0,20353.9,19.367307,-99.141429
5571,apartment,VenustianoCarranza,0,2013130.93,61.0,61.0,33295.52459,19.4306069,-99.0949899
5572,apartment,Cuauhtemoc,0,840725.09,60.0,60.0,14140.0,19.461349,-99.149071
5573,apartment,BenitoJuarez,0,2188976.3,65.0,65.0,33676.55846153846,19.364967,-99.1428406
5574,house,Azcapotzalco,0,2028482.24,150.0,150.0,13646.66667,19.469418,-99.164299
5575,apartment,BenitoJuarez,0,3043714.28,81.0,81.0,37919.75309,19.365446,-99.165248
5576,apartment,Iztapalapa,0,412334.41,69.0,69.0,6028.985507,19.359645,-99.138745
